"pauldonnellysf","Sinn Fein"
"campaign4kehoe","Fine Gael"
"paulmcauliffe","Fianna Fail"
"paulmurphy_TD","PBP"
"pearsedoherty","Sinn Fein"
"peterburkefg","Fine Gael"
"podonovan","Fine Gael"
"rboydbarrett","PBP"
"rebeccamoy","Labour"
"reginado","Fine Gael"
"richardbrutontd","Fine Gael"
"roberttroytd","Fianna Fail"
"roisinshortall","Social Democrat"
"ruairiquinntd","Labour"
"seankynesenator","Fine Gael"
"seansherlocktd","Labour"
"simoncoveney","Fine Gael"
"simonharristd","Fine Gael"
"thomaspringletd","Independent"
"toibin1","Aontu"
"willieodealive","Fianna Fail"
"chrisandrews64","Sinn Fein"
"mickbarrytd","Socialist"
"berrycathal","Independent"
"johnbradysf","Sinn Fein"
"brophytalks","Fine Gael"
"jamesbrownetd","Fianna Fail"
"browne4dail","Sinn Fein"
"patbuckleysfme","Sinn Fein"
"colmburketd","Fine Gael"
"marybutlertd","Fianna Fail"
"thomasbyrnetd","Fianna Fail"
