"cathmartingreen","Green"
"stevengreen1","Green"
"mcconalogue","Fianna Fail"
"hmcentee","Fine Gael"
"mattiemcgrathtd","Independent"
"mmcgrathtd","Fianna Fail"
"jmcguinnesstd","Fianna Fail"
"mchughjoetd","Fine Gael"
"mimcnamaratd","Independent"
"dmitchelltd","Sinn Fein"
"aindriasmoynih1","Fianna Fail"
"mmoynihantd","Fianna Fail"
"imeldamunster","Sinn Fein"
"jenmurnaneoconn","Fianna Fail"
"veronamurphyind","Independent"
"johnnymythensf","Sinn Fein"
"geraldnash","Labour"
"denisnaughten","Independent"
"cnolanoffaly","Independent"
"noonan_malcolm","Green"
"darraghobrientd","Fianna Fail"
"joefingalgreen","Green"
"ocallaghancian","Social Democrat"
"ocallaghanjim","Fianna Fail"
"jamesoconnortd","Fianna Fail"
"richardodonoghu","Fianna Fail"
"rodericogorman","Green"
"loreillysf","Sinn Fein"
"orourke_darren","Sinn Fein"
"cosullivantd","Fianna Fail"
"padraigosull","Fianna Fail"
"jpphelan","Fine Gael"
"quinlivantd","Sinn Fein"
"annerabbitte","Fianna Fail"
"ryan_patricia","Sinn Fein"
"mattshanahantd","Independent"
"seansherlocktd","Labour"
"brendansmithtd","Fianna Fail"
"bridsmithtd","PBP"
"duncansmithtd","Labour"
"niamhsmythtd","Fianna Fail"
"smytho","Green"
"brianstanleysf","Sinn Fein"
"davidstantontd","Fine Gael"
"roberttroytd","Fianna Fail"
"paulinetullytd","Sinn Fein"
"leovaradkar","Fine Gael"
"wardy1916","Sinn Fein"
"whitmorejen","Social Democrat"
"wynnetd","Sinn Fein"
"eoinobroin","Sinn Fein"
"marckc_green","Green"
"sofearghail_td","Fianna Fail"
"donnchadhol","Sinn Fein"
"romurchu","Sinn Fein"
